Code EPCI,EPCI ,activité,nb. emplois
200036549,CC Val de Gray,autres industries,468
200039758,"CC Avallon, Vézelay, Morvan",autres industries,476
200041721,CC de la Haute Comté,autres industries,299
200069052,CA Grand Belfort,autres industries,2247
200070530,CC du Grand Autunois Morvan,autres industries,474
200070910,CC Tille et Venelle,autres industries,329
200071884,CC Le Grand Charolais,autres industries,160
242100154,CC des Vallées de la Tille et de l'Ignon,autres industries,257
242100410,Dijon Métropole,autres industries,569
242500338,CC du Grand Pontarlier,autres industries,230
243900354,CC de la Station des Rousses-Haut Jura,autres industries,187
243900479,CC du Haut-Jura - ARCADE,autres industries,538
247000664,CC du Pays de Lure,autres industries,153
248900334,CA du Grand Sénonais,autres industries,733
248900896,CC Yonne Nord,autres industries,166
248900938,CC du Jovinien,autres industries,138
249000241,CC du Sud Territoire,autres industries,294
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",viticulture,2414
200039642,CC Le Tonnerrois en Bourgogne,viticulture,159
200067080,"CC Chablis, Villages et Terroirs",viticulture,1435
200067114,CA de l'Auxerrois,viticulture,431
200067130,CC de Puisaye-Forterre,viticulture,51
200067916,CC Cœur de Loire,viticulture,429
200069615,CC Bresse Haute Seille,viticulture,130
200069698,CC Mâconnais - Tournugeois,viticulture,566
200070308,CA Mâconnais Beaujolais Agglomération,viticulture,1345
200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,viticulture,1458
200071595,"CC Arbois, Poligny, Salins, Cœur du Jura",viticulture,213
200072056,CC Porte du Jura,viticulture,79
247104094,CC Sud Côte Chalonnaise,viticulture,347
200040293,CC du Clunisois,fabrication de produits métalliques,294
200068070,CC Loue-Lison,fabrication de produits métalliques,331
200070548,CC La Clayette Chauffailles en Brionnais,fabrication de produits métalliques,151
242101434,CC du Pays Châtillonnais,fabrication de produits métalliques,161
245804406,CA de Nevers,fabrication de produits métalliques,480
247000722,CC du Pays d'Héricourt,fabrication de produits métalliques,110
247000854,CC des 1000 étangs,fabrication de produits métalliques,395
247100589,CA Le Grand Chalon,fabrication de produits métalliques,1642
248900383,CC de l'Agglomération Migennoise,fabrication de produits métalliques,131
200023075,CC du Pays de Maîche,Horlogerie,303
242500361,CU du Grand Besançon Métropole,Horlogerie,307
242504116,CC du Val de Morteau,Horlogerie,382
200039055,CC Ouche et Montagne,industrie agroalimentaire,126
200068294,CC des Deux Vallées Vertes,industrie agroalimentaire,181
200069623,CC Champagnole Nozeroy Jura,industrie agroalimentaire,116
200071116,CA ECLA  (Espace Communautaire Lons Agglomération),industrie agroalimentaire,809
200071538,CC Terres de Bresse,industrie agroalimentaire,199
200071579,CC Bresse Louhannaise Intercom',industrie agroalimentaire,804
200071645,CC Saint Cyr Mère Boitier entre Charolais et Mâconnais,industrie agroalimentaire,225
242504181,CC des Portes du Haut-Doubs,industrie agroalimentaire,160
242504488,CC Altitude 800,industrie agroalimentaire,77
242504496,CC du Plateau de Frasne et du Val de Drugeon (CFD),industrie agroalimentaire,82
247000698,CC des Monts de Gy,industrie agroalimentaire,152
200065647,CA Pays de Montbéliard Agglomération,Industrie automobile,8427
200070316,"CC Entre Arroux, Loire et Somme",Industrie automobile,1217
245801063,CC Loire et Allier,Industrie automobile,144
247000011,CA de Vesoul,Industrie automobile,1678
200010650,CA du Grand Dole,Industrie chimique,1069
200067429,CC Haut Nivernais-Val d'Yonne,Industrie chimique,127
200026573,CC Haut-Jura Saint-Claude,Métallurgie,238
200041879,CC Terres de Saône,Métallurgie,287
200067304,CC Serein et Armance,Métallurgie,482
200067700,CC Sud Nivernais,Métallurgie,932
200068088,CC Les Bertranges,Métallurgie,147
242101459,CC du Pays d'Alésia et de la Seine,Métallurgie,132
242101491,CC du Montbardois,Métallurgie,949
247100290,CU Le Creusot Montceau-les-Mines,Métallurgie,861
248900664,CC de la Vanne et du Pays d'Othe,Pas d’activité spécifique,0
247103864,CC du Canton de Semur-en-Brionnais,Pas d’activité spécifique,0
247100639,CC de Marcigny,Pas d’activité spécifique,0
247000706,CC du Pays Riolais,Pas d’activité spécifique,0
247000623,CC des Quatre Rivières,Pas d’activité spécifique,0
247000367,CC des Combes,Pas d’activité spécifique,0
245804497,CC du Nivernais Bourbonnais,Pas d’activité spécifique,0
243900610,CC La Grandvallière,Pas d’activité spécifique,0
242504447,CC du Doubs Baumois,Pas d’activité spécifique,0
242504355,CC du Plateau de Russey,Pas d’activité spécifique,0
242500320,CC de Montbenoît,Pas d’activité spécifique,0
200069565,CC des Lacs et Montagnes du Haut-Doubs,Pas d’activité spécifique,0
200067908,CC Amognes Coeur du Nivernais,Pas d’activité spécifique,0
200067882,CC Bazois Loire Morvan,Pas d’activité spécifique,0
200067692,CC Tannay-Brinon-Corbigny,Pas d’activité spécifique,0
200041861,CC du Triangle Vert,Pas d’activité spécifique,0
200041853,CC du Pays de Montbozon et du Chanois,Pas d’activité spécifique,0
200040038,CC Saône Doubs Bresse,Pas d’activité spécifique,0
200039063,"CC Forêts, Seine et Suzon",Pas d’activité spécifique,0
247000755,CC du Pays de Luxeuil,Pas d’activité spécifique,0
242101442,CC de Saulieu,Pas d’activité spécifique,0
200071017,CC des Terres d'Auxois,Pas d’activité spécifique,0
248900748,CC du Gâtinais en Bourgogne,Pas d’activité spécifique,0
247100647,CC Bresse Nord Intercom,Pas d’activité spécifique,0
200090579,"CC Jura Sud, Pays des Lacs, Petite Montagne et Région d'Orgelet",Pas d’activité spécifique,0
200072825,CC Mirebellois et Fontenois,Pas d’activité spécifique,0
200071173,CC du Pays Arnay Liernais,Pas d’activité spécifique,0
200070902,CC Auxonne Pontailler Val de Saône,Pas d’activité spécifique,0
200036150,CC des Hauts du Val de Saône,Pas d’activité spécifique,0
242504371,CC du Pays de Sancey-Belleherbe,Pas d’activité spécifique,0
200071207,CC de Pouilly-en-Auxois/Bligny-sur-Ouche,Pas d’activité spécifique,0
200067890,CC Morvan Sommets et Grands Lacs,Pas d’activité spécifique,0
248900524,CC de l'Aillantais,Pas d’activité spécifique,0
247103765,CC Entre Saône et Grosne,Pas d’activité spécifique,0
247000821,CC Rahin et Chérimont,Pas d’activité spécifique,0
247000714,CC du Pays de Villersexel,Pas d’activité spécifique,0
243901089,CC de la Plaine Jurassienne,Pas d’activité spécifique,0
243900560,CC Jura Nord,Pas d’activité spécifique,0
243900420,CC du Val d'Amour,Pas d’activité spécifique,0
242101509,CC Rives de Saône,Pas d’activité spécifique,0
200069540,CC Norge et Tille,Pas d’activité spécifique,0
200069060,CC des Vosges du Sud,Pas d’activité spécifique,0
200042414,CC Bresse Revermont 71,Pas d’activité spécifique,0
200041887,CC du Val Marnaysien,Pas d’activité spécifique,0
200039709,CC du Serein,Pas d’activité spécifique,0
200000925,CC de la Plaine Dijonnaise,Pas d’activité spécifique,0
200071140,CA Moulins Communauté,Pas d’activité spécifique,0
200070332,CC des Savoir-Faire,Pas d’activité spécifique,0
200067668,"CC de la Cléry, du Betz et de l'Ouanne",Pas d’activité spécifique,0
